Pathway name	RSPSS4	RSBA7	RSMOLK2	RSRUN2340	RSCFB2957	RSBDBR229	RSGMI1000	RSK60	RSPSI07	RSR24	RSUW551
_1_1_1_trichloro_2_2_bis_chlorophenyl_ethane_ddt_degradation	[]	[R_C23DDT1, R_C23DDTp]	[R_C23DDT1, R_C23DDTp]	[R_C23DDT1, R_C23DDTp]	[R_C23DDT1, R_C23DDTp]	[R_C23DDT1, R_C23DDTp]	[R_C23DDT1, R_C23DDTp]	[R_C23DDT1, R_C23DDTp]	[R_C23DDT1, R_C23DDTp]	[R_C23DDT1, R_C23DDTp]	[R_C23DDT1, R_C23DDTp]
_1_2_dichloroethane_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
_1_4_dichlorobenzene_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
_1_4_dichlorobenzene_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
_1_and_2_methylnaphthalene_degradation	[]	[]	[R_HYDRTS, R_2H3CBZP, R_2H3MBZP, R_2H4HMBZP]	[]	[]	[]	[]	[]	[]	[]	[]
_1_and_2_methylnaphthalenedegradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
_2_4_dichlorobenzoate_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
_2_amino_3_carboxymuconate_semialdehyde_degradation_to_2_oxopentenoate	[]	[R_AM6SAD]	[R_AM6SAD]	[R_AM6SAD]	[R_AM6SAD]	[R_AM6SAD]	[]	[R_AM6SAD]	[R_AM6SAD]	[R_AM6SAD]	[R_AM6SAD]
_2_methylcitrate_cycle	[]	[R_MICITDr]	[R_MICITDr]	[]	[R_MICITDr]	[R_MICITDr]	[]	[R_MICITDr]	[R_MICITDr]	[R_MICITDr]	[R_MICITDr]
_2_oxobutanoate_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
_3_chloroacrylic_acid_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
_3_hydroxy_oxindole_biosynthesis	[]	[R_3HOXIDS]	[]	[]	[]	[R_3HOXIDS]	[]	[]	[R_3HOXIDS]	[R_3HOXIDS]	[]
_3_hydroxypropionate_cycle	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
_4_aminobutyrate_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
_4_hydroxyphenylacetate_degradation	[]	[R_CMCMSAD]	[R_CMCMSAD]	[R_CMCMSAD]	[R_CMCMSAD]	[R_CMCMSAD]	[]	[R_CMCMSAD]	[R_CMCMSAD]	[R_CMCMSAD]	[R_CMCMSAD]
_5_oxoproline_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
adenosylcobalamin_biosynthesis	[]	[]	[]	[]	[]	[R_BLUB, R_PC17M, R_PC6AR, R_HGYDAS, R_PC6YM, R_CPC4MT, R_PC11M, R_COCHL, R_PC20M, R_PC8XM]	[]	[]	[]	[]	[]
adp_glucose_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
aerobactin_like_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
alanine_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
alanine_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
allantoin_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
alpha_dipeptides_biosynthesis	[]	[]	[]	[R_LAAL5, R_LAAL6, R_LAAL49, R_LAAL48, R_LAAL8, R_LAAL47, R_LAAL60, R_LAAL20, R_LAAL61, R_LAAL46, R_LAAL45, R_LAAL23, R_LAAL44, R_LAAL38, R_LAAL59, R_LAAL58, R_LAAL53, R_LAAL52, R_LAAL51, R_LAAL50, R_LAAL57, R_LAAL35, R_LAAL56, R_LAAL55, R_LAAL54]	[]	[R_LAAL5, R_LAAL6, R_LAAL49, R_LAAL48, R_LAAL8, R_LAAL47, R_LAAL60, R_LAAL20, R_LAAL61, R_LAAL46, R_LAAL45, R_LAAL23, R_LAAL44, R_LAAL38, R_LAAL59, R_LAAL58, R_LAAL53, R_LAAL52, R_LAAL51, R_LAAL50, R_LAAL57, R_LAAL35, R_LAAL56, R_LAAL55, R_LAAL54]	[]	[]	[]	[]	[]
alpha_dipeptides_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
